电影id,电影名称,出品国家,电影类别1,电影类别2,电影类别3,电影评分,男性占比,女性占比
1419058,乔治娅,"中国
",剧情,儿童,家庭,,0.167 ,0.833 
1419063,村里那些事,"中国
",农村,励志,,,,
1423417,余生那些年,"日本
",剧情,爱情,,8.8,0.330 ,0.670 
1423883,国鼎魂（戏曲 苏剧）,"中国
",戏曲,,,,0.324 ,0.676 
1423893,念念相忘,"中国
",爱情,剧情,,9.2,0.333 ,0.667 
1423992,零度极限,"中国
",剧情,运动,,,0.389 ,0.611 
1423998,破冰72小时,"中国
",警匪,动作,犯罪,,0.369 ,0.631 
1424022,白塔之光,"中国
",剧情,,,8.3,0.325 ,0.675 
1424182,猎杀,"中国
",恐怖,惊悚,悬疑,,0.402 ,0.598 
1425146,追缉,中国,悬疑,犯罪,,7,0.250 ,0.750 
1426009,世界欠我一个你,"泰国
",剧情,喜剧,爱情,,0.331 ,0.669 
1427875,故园飘梦,"中国
",剧情,,,,0.447 ,0.553 
1427883,因你而动,"中国
",青春,爱情,舞台艺术,,0.448 ,0.552 
1427961,寻找消失的恋人,"中国
",爱情,悬疑,剧情,,0.409 ,0.591 
1428129,无价之宝,"中国
",剧情,家庭,,8.5,0.346 ,0.654 
1428364,我经过风暴,"中国
",剧情,家庭,,9.1,0.207 ,0.793 
1429264,新九品芝麻官,"中国
",喜剧,,,,0.683 ,0.317 
1430688,热搜,"中国
",剧情,犯罪,,8.9,0.266 ,0.734 
1431732,我在汴京等你,"中国
",爱情,励志,,,0.392 ,0.608 
1431800,舒克贝塔·五角飞碟,"中国
",动画,喜剧,冒险,9.1,0.261 ,0.739 
1431819,,,,,,,,
1431842,浙南儿女英雄传之热血长虹,"中国
",剧情,,,,0.520 ,0.480 
1431886,志愿军：雄兵出击,"中国
",剧情,历史,战争,9.6,0.465 ,0.535 
1431900,李明瑞,"中国
",剧情,,,,,
1431907,茶啊二中,"中国
",动画,奇幻,喜剧,9.3,0.348 ,0.652 
1431937,不曾消失的爱,"中国
",家庭,爱情,剧情,,0.328 ,0.672 
1431946,双山阻击战,"中国
",剧情,,,,0.510 ,0.490 
1431973,朱同在三年级丢失了超能力,"中国
",喜剧,奇幻,,,0.247 ,0.753 
1432006,红毯先生,"中国
",剧情,喜剧,,8.2,0.407 ,0.593 
1432026,红色裁判,"中国
",剧情,战争,,,0.397 ,0.603 
1432500,临时劫案,中国,犯罪,喜剧,,8.3,0.526 ,0.474 
1432550,凡夫俗子,"中国
",剧情,,,,,
1432552,追·寻,"中国
",纪录片,,,,0.451 ,0.549 
1432843,追你而来,"中国
",喜剧,动作,爱情,,0.434 ,0.566 
1432927,鹦鹉杀,"中国
",犯罪,悬疑,,,0.229 ,0.771 
1432957,冰川之恋,"中国
",爱情,喜剧,,,0.427 ,0.573 
1433391,申纪兰,"中国
",剧情,传记,,,0.429 ,0.571 
1433776,变形金刚：超能勇士崛起,"美国
",动作,科幻,冒险,9,0.549 ,0.451 
1434565,末路迷途,"中国
",悬疑,,,,0.327 ,0.673 
1434993,云雾女孩,"中国
",剧情,,,,0.282 ,0.718 
1435017,李夏·在路上,"中国
",剧情,,,,0.444 ,0.556 
1435025,飞向月球,"中国
",动画,剧情,,,0.336 ,0.664 
1435032,碧血黎明,"中国
",剧情,,,,0.411 ,0.589 
1435076,谁持彩练当空舞,"中国
",剧情,,,,,
1435106,让花儿绽放,"中国
",剧情,,,,0.311 ,0.689 
1435118,毕业第一年,"中国
",青春,剧情,,,0.438 ,0.562 
1435120,险诈,"中国
",剧情,犯罪,悬疑,,0.398 ,0.602 
1435124,神兜兜和奶爸,"中国
",儿童,励志,,,0.269 ,0.731 
1435155,青春梦幻之穷小子的幸福,"中国
",爱情,剧情,,,0.432 ,0.568 
1435968,阿盖尔：神秘特工,美国,奇幻,动作,,8.7,0.422 ,0.578 
1437173,绝地重生,"中国
",历史,战争,,,0.486 ,0.514 
1437441,力量密码,"中国
",剧情,历史,革命,,0.263 ,0.737 
1438976,一路情缘,"中国
",爱情,喜剧,,,0.446 ,0.554 
1439096,长沙夜生活,"中国
",剧情,爱情,,9.3,0.265 ,0.735 
1439155,表白吧！在毕业前,"中国
",喜剧,青春,校园,,0.436 ,0.564 
1439161,热烈,"中国
",青春,运动,喜剧,9.4,0.205 ,0.795 
1439164,动物园里有什么？,"中国
",喜剧,,,8,0.376 ,0.624 
1441467,怒潮,"中国
",犯罪,动作,,8.9,0.378 ,0.622 
1441786,沙丘2,美国,科幻,动作,冒险,8.9,0.471 ,0.529 
1442365,养蜂人,美国,动作,悬疑,剧情,8.9,0.533 ,0.467 
1442386,挑战,"俄罗斯
",动作,剧情,,9,0.430 ,0.570 
1442528,憋住·别笑,"中国
",剧情,悬疑,喜剧,,0.396 ,0.604 
1443049,孔秀,"中国
",剧情,,,,0.280 ,0.720 
1443473,加油吧！乡亲们,"中国
",纪录片,,,,0.453 ,0.547 
